,Област / Община,Площ km2,Население,Население.1,Население.2,Население.3,Население.4,Население.5,Население.6,Население.7,Население.8,Население.9,Брой общ.,Гр.,Села,Общо
0,Област / Община,Площ km2,31.12. 1934,31.12. 1946,1.12. 1956,1.12. 1965,2.12. 1975,4.12. 1985,4.12. 1992,1.3. 2001,1.2. 2011,7.9. 2021,Брой общ.,Гр.,Села,Общо
1,България,"111 122,147",6 396 711,7 029 349,7 613 709,8 227 866,8 727 771,8 948 649,8 487 317,7 928 901,7 364 570,6 519 789,266,255,5 000,5 255
2,Благоевград,"6 449,571",205 511,250 985,279 219,301 157,321 854,344 195,351 637,341 173,323 552,292 227,14,13,261,274
3,Банско,475881,10 963,12 197,13 107,14 178,16 212,15 442,14 600,13 980,13 125,12 722,,2,6,8
4,Белица,227477,9069,9744,7834,9105,9698,9757,10 117,9620,9927,9206,,1,11,12
5,Благоевград,620118,28 531,34 060,39 248,45 569,58 812,72 681,78 810,78 133,77 441,69 078,,1,25,26
6,Гоце Делчев,330210,17 569,21 740,24 268,26 491,28 915,32 110,33 074,32 571,31 236,29 383,,1,11,12
7,Гърмен,388479,11 417,13 007,13 383,13 678,13 269,14 636,15 014,14 934,14 981,14 861,,–,16,16
8,Кресна,344549,5597,6771,7675,8366,7623,7108,6947,6255,5441,4546,,1,6,7
9,Петрич,650132,30 723,41 394,48 073,53 055,55 190,57 483,57 829,57 689,54 006,47 939,,1,54,55
10,Разлог,506470,14 272,16 306,17 628,20 317,24 211,24 211,23 501,22 081,20 598,18 910,,1,7,8
11,Сандански,998416,24 456,34 702,39 989,42 260,42 090,45 143,45 097,43 109,40 470,35 885,,2,52,54
12,Сатовча,332591,9195,10 747,11 761,13 527,15 234,16 851,18 350,17 889,15 444,13 422,,–,14,14
13,Симитли,553004,14 666,17 323,19 313,18 080,16 667,16 722,16 840,16 049,14 283,13 200,,1,17,18
14,Струмяни,355190,10 456,12 797,13 773,13 067,10 609,8719,7957,6829,5778,4634,,–,21,21
15,Хаджидимово,327778,12 025,14 906,14 133,13 252,12 041,12 219,12 147,10 926,10 091,8860,,1,14,15
16,Якоруда,339276,4572,5291,9034,10 212,11 283,11 113,11 354,11 108,10 731,9581,,1,7,8
17,Бургас,"7 748,070",284 931,318 947,355 079,388 877,421 452,449 521,441 085,423 552,415 817,380 286,13,18,232,250
18,Айтос,402866,20 875,21 736,24 171,28 955,31 982,33 807,32 210,30 549,28 687,25 481,,1,16,17
19,Бургас,559151,53 778,65 677,95 535,135 201,180 715,210 670,212 410,209 417,212 902,196 582,,2,10,12
20,Камено,354946,14 766,16 595,16 714,16 901,16 834,14 103,13 289,12 453,10 393,9545,,1,12,13
21,Карнобат,835468,37 613,40 994,41 516,41 080,37 909,34 817,32 731,29 871,25 477,20 840,,1,30,31
22,Малко Търново,783672,10 399,10 859,11 485,10 742,7782,7036,6373,4551,3793,2628,,1,12,13
23,Несебър,420433,11 838,13 526,13 803,14 276,16 542,18 186,18 871,19 113,22 348,23 760,,3,11,14
24,Поморие,413189,17 994,19 744,20 800,23 157,25 612,27 416,27 746,27 370,27 658,25 406,,2,15,17
25,Приморско,350084,3637,4873,4832,3980,4003,4666,4143,4079,6064,5618,,2,4,6
26,Руен,689937,26 312,28 010,29 667,30 762,30 892,33 753,30 881,28 833,29 101,26 385,,–,41,41
27,Созопол,480067,16 645,18 447,20 413,17 813,15 886,15 765,14 971,14 277,12 610,11 984,,1,11,12
28,Средец,1149878,35 717,39 203,38 935,29 804,22 603,21 303,19 868,17 396,14 934,13 145,,1,32,33
29,Сунгурларе,794967,27 101,29 381,26 218,25 572,21 082,18 273,16 958,15 409,12 559,10 583,,1,27,28
30,Царево,513402,8256,9902,10 990,10 634,9610,9726,10 634,10 229,9291,8329,,2,11,13
31,Варна,"3 827,428",256 425,266 617,314 163,366 855,431 024,464 945,462 970,462 013,475 074,432 198,12,11,148,159
32,Аврен,353776,16 976,17 686,15 842,12 934,11 269,9109,8817,8714,8574,8297,,–,17,17
33,Аксаково,460536,19 752,18 662,16 741,14 743,17 182,16 534,17 994,19 118,20 426,19 499,,2,21,23
34,Белослав,60079,3823,4189,7055,10 084,12 143,11 448,11 079,11 131,11 023,9870,,1,3,4
35,Бяла,161842,5455,5260,5461,4976,4346,4019,3787,3413,3242,3006,,1,5,6
36,Варна,238495,76 664,83 845,127 160,188 047,258 613,309 875,315 336,320 464,343 704,319 613,,1,5,6
37,Ветрино,292333,15 944,15 854,14 620,13 206,11 379,9180,7990,7023,5415,4508,,–,10,10
38,Вълчи дол,472518,28 950,27 448,26 665,24 101,20 014,16 484,14 792,12 973,10 052,7608,,1,21,22
39,Девня,121052,6000,6405,9661,12 231,13 923,10 735,9390,9683,8730,7230,,1,2,3
40,Долни чифлик,489093,17 324,19 293,21 607,20 791,20 535,20 782,20 944,20 217,19 360,15 666,,1,16,17
41,Дългопол,440945,20 687,21 589,22 217,20 882,18 797,18 105,16 514,15 901,14 389,12 208,,1,16,17
42,Провадия,520882,33 363,34 746,36 366,34 691,33 413,30 434,28 414,25 718,22 934,18 202,,1,24,25
43,Суворово,215877,11 497,11 640,10 768,10 169,9410,8240,7913,7658,7225,6491,,1,8,9
44,Велико Търново,"4 661,572",334 622,352 697,344 902,339 248,349 018,339 992,318 251,293 172,258 494,207 371,10,14,322,336
45,Велико Търново,885345,68 166,68 761,69 456,76 021,91 162,97 981,93 796,90 432,88 670,76 718,,3,86,89
46,Горна Оряховица,317807,38 881,42 167,45 133,51 833,58 413,62 634,58 304,53 131,46 685,38 456,,2,12,14
47,Елена,671389,27 209,26 676,24 870,19 213,16 546,14 722,13 581,11 339,9434,7737,,1,123,124
48,Златарица,232676,12 463,14 328,10 994,9176,7491,6316,5855,4948,3991,3363,,1,23,24
49,Лясковец,177373,18 686,18 623,18 120,19 462,19 454,18 401,17 479,15 570,13 397,11 468,,1,5,6
50,Павликени,622690,46 611,49 679,49 118,47 606,43 191,38 601,35 238,31 312,23 869,18 737,,2,18,20
51,Полски Тръмбеш,463652,34 557,37 001,35 803,30 344,27 277,23 610,21 150,18 678,14 451,11 169,,1,14,15
52,Свищов,625321,43 870,48 637,51 693,52 098,56 264,52 779,50 177,47 629,42 734,27 595,,1,15,16
53,Стражица,508297,35 056,36 468,31 839,26 995,23 750,20 699,18 759,16 504,12 721,10 128,,1,21,22
54,Сухиндол,157022,9126,10 357,7876,6500,5470,4249,3912,3629,2542,2000,,1,5,6
55,Видин,"3 054,405",191 787,194 007,188 525,176 617,174 037,162 084,151 636,130 074,101 018,75 408,11,7,133,140
56,Белоградчик,410665,14 632,14 513,13 650,12 862,12 255,11 072,9921,8217,6602,5049,,1,17,18
57,Бойница,187361,10 037,9949,8805,7297,5466,4121,3330,2270,1341,763,,–,8,8
58,Брегово,179223,16 313,15 767,14 603,13 184,12 144,10 269,9181,7515,5514,3926,,1,9,10
59,Видин,512932,55 071,56 078,60 298,67 213,82 484,87 202,85 974,77 480,63 257,47 847,,2,32,34
60,Грамада,184213,10 814,11 096,10 502,8199,6100,4818,4126,3196,2007,1345,,1,7,8
61,Димово,402493,23 011,23 402,21 962,18 500,14 925,12 136,10 644,8783,6514,4810,,1,22,23
62,Кула,279370,17 833,18 176,17 776,14 732,12 266,10 116,8676,6792,4717,3292,,1,8,9
63,Макреш,228790,10 534,10 664,9414,7531,5876,4356,3624,2550,1630,1067,,–,7,7
64,Ново село,109487,10 406,10 289,9018,8396,7187,5784,5227,4206,2979,2375,,–,5,5
65,Ружинци,232555,13 649,14 623,14 131,11 785,9722,7755,7138,6061,4374,3299,,–,10,10
66,Чупрене,327316,9487,9450,8366,6918,5612,4455,3795,3004,2083,1635,,–,8,8
67,Враца,"3 618,769",269 291,289 811,292 555,294 090,297 459,286 929,270 679,243 036,186 848,152 813,10,8,114,122
68,Борован,210729,11 817,16 312,15 068,13 443,11 311,9179,8086,7150,5714,4839,,–,5,5
69,Бяла Слатина,545510,44 073,46 578,47 889,46 313,43 538,38 992,36 340,31 292,24 606,19 876,,1,14,15
70,Враца,706236,49 074,54 422,59 061,69 406,86 049,95 533,94 186,85 215,73 894,61 742,,1,21,22
71,Козлодуй,284874,19 370,19 637,20 241,20 216,18 689,23 506,23 939,24 367,21 180,18 015,,1,4,5
72,Криводол,325857,22 396,24 758,24 643,23 147,19 173,15 595,14 110,12 274,9390,7638,,1,14,15
73,Мездра,519112,30 377,31 133,32 554,33 547,33 608,31 023,28 987,25 879,21 748,17 669,,1,27,28
74,Мизия,209309,15 775,16 668,15 591,15 912,18 850,13 340,11 487,9605,7570,5692,,1,5,6
75,Оряхово,326549,22 594,24 508,24 757,23 670,21 607,19 530,17 340,15 042,11 522,8566,,1,6,7
76,Роман,301524,16 735,16 711,15 322,12 654,11 260,10 788,9147,8148,6223,4875,,1,12,13
77,Хайредин,189069,14 746,15 254,14 417,13 513,11 343,9247,8417,6985,5001,3901,,–,6,6
78,Габрово,"2 026,005",144 305,152 234,154 179,168 958,175 933,174 714,161 987,144 125,122 702,98 387,4,5,344,349
79,Габрово,555579,50 983,57 833,61 481,77 846,85 932,89 951,84 333,74 930,65 268,51 881,,1,133,134
80,Дряново,274162,16 071,16 308,15 595,16 054,16 066,14 837,13 557,11 705,9685,7650,,1,62,63
81,Севлиево,941355,60 871,60 679,59 406,56 567,55 059,51 959,47 647,43 099,35 995,29 676,,1,45,46
82,Трявна,254909,16 380,17 414,17 697,18 491,18 876,17 967,16 450,14 391,11 754,9180,,2,104,106
83,Добрич,"4 719,713",179 084,201 252,226 738,236 777,251 072,257 783,232 780,215 217,189 677,150 146,8,6,209,215
84,Балчик,524153,15 475,17 805,22 092,23 538,24 254,23 990,22 367,22 354,20 317,15 958,,1,21,22
85,Генерал Тошево,982238,26 311,29 330,36 089,37 081,31 264,26 384,22 931,19 422,15 097,11 114,,1,41,42
86,Добрич,109018,30 381,32 671,43 951,56 626,88 233,109 142,104 494,100 000,91 030,16 764,,1,–,1
87,Добрич-селска,"1 296,163",47 559,51 426,49 538,46 147,39 068,33 370,28 710,25 721,22 081,73 895,,–,68,68
88,Каварна,481367,13 419,15 571,18 554,19 375,19 709,19 109,18 044,16 688,15 358,13 308,,1,20,21
89,Крушари,417458,16 107,17 896,15 184,13 465,10 657,8613,7243,5924,4547,3146,,–,19,19
90,Тервел,579677,21 205,26 140,30 214,29 895,28 626,28 711,21 483,18 728,16 178,11 951,,1,25,26
91,Шабла,329639,8627,10 413,11 116,10 650,9261,8464,7508,6380,5069,4010,,1,15,16
92,Кърджали,"3 210,552",164 913,195 844,225 294,267 657,273 507,289 376,203 251,164 019,152 808,141 177,7,5,463,468
93,Ардино,338848,27 533,30 609,29 407,33 185,29 507,27 698,18 174,13 649,11 572,11 318,,1,51,52
94,Джебел,229079,13 769,16 122,17 493,22 798,21 622,22 851,10 994,8661,8167,8375,,1,46,47
95,Кирково,537871,21 460,25 975,29 899,36 421,38 917,42 201,33 112,24 220,21 916,20 442,,–,72,72
96,Крумовград,843319,27 472,33 550,39 161,43 090,44 544,44 146,31 268,19 907,17 823,16 909,,1,79,80
97,Кърджали,574742,41 625,48 737,63 364,82 846,92 778,105 993,76 155,69 830,67 460,62 005,,1,117,118
98,Момчилград,358124,18 482,23 064,26 911,31 319,29 790,31 227,20 836,17 185,16 263,14 353,,1,48,49
99,Черноочене,328569,14 572,17 787,19 059,17 998,16 349,15 260,12 712,10 567,9607,7775,,–,50,50
100,Кюстендил,"3 072,007",190 996,203 381,197 286,200 974,198 876,191 463,181 347,162 534,136 686,111 736,9,7,175,182
101,Бобов дол,206188,14 971,16 584,17 772,18 119,15 942,14 453,13 655,11 755,9067,6862,,1,17,18
102,Бобошево,135142,10 697,11 691,10 199,8297,6556,5326,4620,3695,2870,2348,,1,11,12
103,Дупница,329059,34 960,39 989,44 569,53 141,58 185,57 310,55 737,51 471,44 988,37 795,,1,16,17
104,Кочериново,182306,13 977,15 159,14 397,13 033,10 206,8617,7500,6607,5214,4260,,1,10,11
105,Кюстендил,979915,65 575,66 951,64 880,71 336,79 756,81 525,78 328,70 573,60 681,49 080,,1,71,72
106,Невестино,439686,21 650,22 877,18 336,13 904,9489,7266,5894,4466,2821,1824,,–,23,23
107,Рила,360960,5987,7144,7498,6650,5818,4918,4410,3844,2888,2442,,1,4,5
108,Сапарева баня,180921,11 507,12 769,12 331,11 876,9923,9841,9544,8981,7528,6691,,1,4,5
109,Трекляно,257830,11 672,10 217,7304,4618,3001,2207,1659,1142,629,434,,–,19,19
110,Ловеч,"4 128,764",208 444,215 925,213 319,217 217,216 844,204 268,190 262,169 951,141 422,116 394,8,8,102,110
111,Априлци,238256,9544,9901,8861,6806,6203,5363,4720,4137,3338,2786,,1,3,4
112,Летница,177719,10 753,10 892,9494,8630,8043,7202,6752,5607,3776,3632,,1,3,4
113,Ловеч,946284,62 163,64 662,63 337,70 477,75 236,73 017,69 423,62 165,49 738,38 699,,1,34,35
114,Луковит,453408,33 354,34 082,32 597,30 923,28 877,25 878,23 783,21 466,18 125,15 761,,1,11,12
115,Тетевен,697161,18 421,20 751,24 888,26 315,26 661,26 863,25 952,23 768,21 307,17 970,,1,12,13
116,Троян,888839,38 647,39 701,41 752,45 962,47 231,45 338,41 284,37 345,32 399,26 884,,1,21,22
117,Угърчин,523103,24 703,25 113,22 285,18 080,15 182,12 128,10 816,8561,6505,5035,,1,10,11
118,Ябланица,203994,10 859,10 823,10 105,10 024,9411,8479,7532,6902,6234,5627,,1,8,9
119,Монтана,"3 634,237",227 561,241 651,243 057,242 588,236 903,222 756,208 198,182 258,148 098,119 950,11,8,122,130
120,Берковица,463705,25 324,27 020,27 684,26 754,28 639,26 536,24 999,22 664,18 803,14 501,,1,19,20
121,Бойчиновци,308334,20 643,22 208,23 489,22 658,19 838,15 692,14 247,12 258,9272,7712,,1,12,13
122,Брусарци,194434,13 390,14 465,13 885,13 067,10 818,9083,8069,6826,5078,4096,,1,9,10
123,Вълчедръм,431514,27 471,28 723,27 261,25 190,21 951,18 293,15 858,13 146,9900,7698,,1,10,11
124,Вършец,240112,11 728,12 692,12 743,11 654,12 119,11 481,11 066,9870,8203,6927,,1,9,10
125,Георги Дамяново,297594,13 132,12 799,11 669,10 690,8739,6545,5558,4461,2771,2018,,–,13,13
126,Лом,323882,36 605,38 368,39 985,43 062,43 672,42 879,40 260,35 077,28 139,21 248,,1,9,10
127,Медковец,191089,12 110,12 746,12 548,11 229,9463,7687,6855,5661,4029,3085,,–,5,5
128,Монтана,675715,41 858,45 913,48 252,53 952,61 964,68 827,67 365,61 422,53 856,46 271,,1,23,24
129,Чипровци,286881,11 424,11 779,11 482,11 762,9148,7678,6817,4988,3715,2859,,1,9,10
130,Якимово,220977,13 876,14 938,14 059,12 570,10 552,8055,7104,5885,4332,3535,,–,4,4
131,Пазарджик,"4 479,907",211 451,244 385,277 198,296 641,314 006,326 188,326 123,310 723,275 548,229 814,12,13,104,117
132,Батак,677310,8159,8779,13 758,10 542,9445,8585,7639,7189,6144,4869,,1,2,3
133,Белово,346356,12 416,13 405,14 184,15 021,14 724,14 191,12 428,11 069,8891,7324,,1,7,8
134,Брацигово,229425,13 041,14 790,15 643,15 441,14 618,13 411,12 514,11 596,9648,7355,,1,6,7
135,Велинград,604471,16 938,20 299,27 534,30 640,35 380,37 564,38 281,37 728,35 757,32 951,,1,20,21
136,Лесичово,209430,12 766,13 576,12 239,10 701,9444,8030,7289,6633,5408,4695,,–,7,7
137,Пазарджик,636722,65 067,78 671,88 904,106 559,118 160,128 974,133 685,127 900,114 817,91 368,,1,31,32
138,Панагюрище,598913,24 781,27 350,28 503,31 791,33 146,33 825,32 599,29 818,25 263,22 084,,1,9,10
139,Пещера,158418,10 970,12 955,18 314,17 940,20 558,22 029,22 233,22 037,18 899,14 742,,1,2,3
140,Ракитово,246438,8865,9861,12 095,12 825,13 925,15 031,15 764,15 868,15 064,13 490,,2,1,3
141,Септември,349372,27 886,31 818,33 356,32 725,33 092,33 107,32 263,29 872,25 794,21 795,,2,13,15
142,Стрелча,224460,9589,10 563,9657,8240,7527,6902,6650,6019,4913,4409,,1,4,5
143,Сърница,198592,981,2318,3011,4216,3987,4539,4778,4994,4950,4732,,1,2,3
144,Перник,"3 394,221",155 573,169 042,179 319,180 199,173 828,179 923,163 307,149 832,133 530,114 162,6,6,165,171
145,Брезник,404038,20 535,20 377,17 475,14 599,12 582,10 994,10 250,8532,6945,5800,,1,34,35
